Harvest,Treatment,rep,Dwt (g)
1,T1,1,0.2
1,T2,1,0.2
1,T3,1,0.2
1,T4,1,0.1
1,T5,1,0.1
1,T6,1,0.4
1,T1,2,0.1
1,T2,2,0.1
1,T3,2,0.1
1,T4,2,0.1
1,T5,2,0.1
1,T6,2,0.1
1,T1,3,0.2
1,T2,3,0.1
1,T3,3,0.1
1,T4,3,0.1
1,T5,3,0.1
1,T6,3,0.1
1,T1,4,0.1
1,T2,4,0.5
1,T3,4,0.1
1,T4,4,0.1
1,T5,4,0.1
1,T6,4,0.1
1,T1,5,0.3
1,T2,5,0.1
1,T3,5,0.1
1,T4,5,0.1
1,T5,5,0.1
1,T6,5,0.2
1,T1,6,0.1
1,T2,6,0.2
1,T3,6,0.2
1,T4,6,0.1
1,T5,6,0.1
1,T6,6,0.1
1,T1,7,0.4
1,T2,7,0.3
1,T3,7,0.1
1,T4,7,0.1
1,T5,7,0.1
1,T6,7,0.2
1,T1,8,0.5
1,T2,8,0.2
1,T3,8,0.1
1,T4,8,0.2
1,T5,8,0.1
1,T6,8,0.1
1,T1,9,0.1
1,T2,9,0.1
1,T3,9,0.1
1,T4,9,0.1
1,T5,9,0.4
1,T6,9,0.1
2,T1,1,2
2,T2,1,2.7
2,T3,1,0.3
2,T4,1,0.8
2,T5,1,2.8
2,T6,1,7.7
2,T1,2,6.2
2,T2,2,12.8
2,T3,2,0.2
2,T4,2,0.1
2,T5,2,1.9
2,T6,2,0.8
2,T1,3,3.7
2,T2,3,7.2
2,T3,3,0.2
2,T4,3,0.6
2,T5,3,1.1
2,T6,3,2.1
2,T1,4,8.4
2,T2,4,3.9
2,T3,4,0.7
2,T4,4,0.6
2,T5,4,2.2
2,T6,4,2.6
2,T1,5,1.3
2,T2,5,0.1
2,T3,5,0.4
2,T4,5,1.1
2,T5,5,1.6
2,T6,5,2.2
2,T1,6,11
2,T2,6,1.2
2,T3,6,0.2
2,T4,6,0.3
2,T5,6,0.6
2,T6,6,1.6
2,T1,7,7.3
2,T2,7,8.7
2,T3,7,0.3
2,T4,7,0.6
2,T5,7,2
2,T6,7,0.4
2,T1,8,5.4
2,T2,8,2.7
2,T3,8,0.2
2,T4,8,0.6
2,T5,8,1.6
2,T6,8,0.6
2,T1,9,0.6
2,T2,9,7.2
2,T3,9,0.4
2,T4,9,0.6
2,T5,9,1.3
2,T6,9,3.5
3,T1,1,38.1
3,T2,1,9.1
3,T3,1,0.8
3,T4,1,0.4
3,T5,1,5.7
3,T6,1,20.1
3,T1,2,12.6
3,T2,2,8.5
3,T3,2,0.7
3,T4,2,0.5
3,T5,2,4.3
3,T6,2,6.2
3,T1,3,35.1
3,T2,3,20.2
3,T3,3,1.2
3,T4,3,0.7
3,T5,3,7.2
3,T6,3,13.8
3,T1,4,25.3
3,T2,4,20.4
3,T3,4,2.1
3,T4,4,0.5
3,T5,4,8.6
3,T6,4,10.5
3,T1,5,19.4
3,T2,5,10.7
3,T3,5,0.8
3,T4,5,0.5
3,T5,5,5.2
3,T6,5,21.8
3,T1,6,33.2
3,T2,6,36.5
3,T3,6,0.9
3,T4,6,0.8
3,T5,6,5
3,T6,6,12.9
3,T1,7,69
3,T2,7,37.4
3,T3,7,1.5
3,T4,7,0.6
3,T5,7,9.7
3,T6,7,3.8
3,T1,8,20.3
3,T2,8,32
3,T3,8,0.6
3,T4,8,0.6
3,T5,8,3.6
3,T6,8,5.5
3,T1,9,33.4
3,T2,9,45.9
3,T3,9,1.1
3,T4,9,0.5
3,T5,9,10.3
3,T6,9,15.2
