harv,trt,rep,Dwt_g
first,C,1,0.2
first,C,2,0.1
first,C,3,0.2
first,C,4,0.1
first,C,5,0.3
first,C,6,0.1
first,C,7,0.4
first,C,8,0.5
first,C,9,0.1
first,C2,1,0.2
first,C2,2,0.1
first,C2,3,0.1
first,C2,4,0.5
first,C2,5,0.1
first,C2,6,0.2
first,C2,7,0.3
first,C2,8,0.2
first,C2,9,0.1
first,N_removed,1,0.2
first,N_removed,2,0.1
first,N_removed,3,0.1
first,N_removed,4,0.1
first,N_removed,5,0.1
first,N_removed,6,0.2
first,N_removed,7,0.1
first,N_removed,8,0.1
first,N_removed,9,0.1
first,P_removed,1,0.1
first,P_removed,2,0.1
first,P_removed,3,0.1
first,P_removed,4,0.1
first,P_removed,5,0.1
first,P_removed,6,0.1
first,P_removed,7,0.1
first,P_removed,8,0.2
first,P_removed,9,0.1
first,K_removed,1,0.1
first,K_removed,2,0.1
first,K_removed,3,0.1
first,K_removed,4,0.1
first,K_removed,5,0.1
first,K_removed,6,0.1
first,K_removed,7,0.1
first,K_removed,8,0.1
first,K_removed,9,0.4
first,S_removed,1,0.4
first,S_removed,2,0.1
first,S_removed,3,0.1
first,S_removed,4,0.1
first,S_removed,5,0.2
first,S_removed,6,0.1
first,S_removed,7,0.2
first,S_removed,8,0.1
first,S_removed,9,0.1
second,C,1,2.0
second,C,2,6.2
second,C,3,3.7
second,C,4,8.4
second,C,5,1.3
second,C,6,11.0
second,C,7,7.3
second,C,8,5.4
second,C,9,0.6
second,C2,1,2.7
second,C2,2,12.8
second,C2,3,7.2
second,C2,4,3.9
second,C2,5,0.1
second,C2,6,1.2
second,C2,7,8.7
second,C2,8,2.7
second,C2,9,7.2
second,N_removed,1,0.3
second,N_removed,2,0.2
second,N_removed,3,0.2
second,N_removed,4,0.7
second,N_removed,5,0.4
second,N_removed,6,0.2
second,N_removed,7,0.3
second,N_removed,8,0.2
second,N_removed,9,0.4
second,P_removed,1,0.8
second,P_removed,2,0.1
second,P_removed,3,0.6
second,P_removed,4,0.6
second,P_removed,5,1.1
second,P_removed,6,0.3
second,P_removed,7,0.6
second,P_removed,8,0.6
second,P_removed,9,0.6
second,K_removed,1,2.8
second,K_removed,2,1.9
second,K_removed,3,1.1
second,K_removed,4,2.2
second,K_removed,5,1.6
second,K_removed,6,0.6
second,K_removed,7,2.0
second,K_removed,8,1.6
second,K_removed,9,1.3
second,S_removed,1,7.7
second,S_removed,2,0.8
second,S_removed,3,2.1
second,S_removed,4,2.6
second,S_removed,5,2.2
second,S_removed,6,1.6
second,S_removed,7,0.4
second,S_removed,8,0.6
second,S_removed,9,3.5
third,C,1,38.1
third,C,2,12.6
third,C,3,35.1
third,C,4,25.3
third,C,5,19.4
third,C,6,33.2
third,C,7,69.0
third,C,8,20.3
third,C,9,33.4
third,C2,1,9.1
third,C2,2,8.5
third,C2,3,20.2
third,C2,4,20.4
third,C2,5,10.7
third,C2,6,36.5
third,C2,7,37.4
third,C2,8,32.0
third,C2,9,45.9
third,N_removed,1,0.8
third,N_removed,2,0.7
third,N_removed,3,1.2
third,N_removed,4,2.1
third,N_removed,5,0.8
third,N_removed,6,0.9
third,N_removed,7,1.5
third,N_removed,8,0.6
third,N_removed,9,1.1
third,P_removed,1,0.4
third,P_removed,2,0.5
third,P_removed,3,0.7
third,P_removed,4,0.5
third,P_removed,5,0.5
third,P_removed,6,0.8
third,P_removed,7,0.6
third,P_removed,8,0.6
third,P_removed,9,0.5
third,K_removed,1,5.7
third,K_removed,2,4.3
third,K_removed,3,7.2
third,K_removed,4,8.6
third,K_removed,5,5.2
third,K_removed,6,5.0
third,K_removed,7,9.7
third,K_removed,8,3.6
third,K_removed,9,10.3
third,S_removed,1,20.1
third,S_removed,2,6.2
third,S_removed,3,13.8
third,S_removed,4,10.5
third,S_removed,5,21.8
third,S_removed,6,12.9
third,S_removed,7,3.8
third,S_removed,8,5.5
third,S_removed,9,15.2
